Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Country
M,20,201,86,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 400 metres Individual Medley,Gold,USA
M,24,201,86,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Individual Medley,Silver,USA
M,24,201,86,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 400 metres Individual Medley,Gold,USA
M,23,161,60,United States,USA,1908 Summer,1908,Summer,London,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,USA
M,31,173,67,Czechoslovakia,TCH,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 50 kilometres Walk,Silver,Czech Republic
M,31,NA,NA,United States,USA,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver,USA
F,16,149,38,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Team All-Around,Silver,Russia
M,20,190,77,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Backstroke,Bronze,Russia
M,26,191,87,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxless Fours,Silver,Russia
M,21,186,150,Romania,ROU,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze,Romania
M,33,186,150,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze,Romania
M,28,183,74,Austria,AUT,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Free Pistol, 50 metres",Bronze,Austria
M,32,183,74,Austria,AUT,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Free Pistol, 50 metres",Bronze,Austria
M,18,178,71,Netherlands,NED,1964 Summer,1964,Summer,Tokyo,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold,Netherlands
M,24,179,79,Romania,ROU,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Sabre, Team",Silver,Romania
M,19,NA,NA,France,FRA,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's Cross-Country, Team",Bronze,France
F,35,173,83,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's Shot Put,Silver,Russia
F,16,159,44,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Team All-Around,Bronze,Germany
F,16,159,44,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Horse Vault,Silver,Germany
M,25,180,79,Hungary,HUN,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold,Hungary
M,21,187,87,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,Gold,Germany
M,20,NA,NA,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,Italy
M,24,198,91,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Eights,Gold,Germany
F,24,165,55,Hungary,HUN,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Women's Foil, Team",Silver,Hungary
F,32,165,55,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Women's Foil, Team",Silver,Hungary
M,21,174,60,Germany,GER,1936 Summer,1936,Summer,Berlin,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze,Germany
M,27,172,61,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Pentathlon,Silver,USA
M,26,165,58,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Team All-Around,Bronze,Hungary
F,29,166,55,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 800 metres,Bronze,Germany
M,35,189,83,Italy,ITA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Triple Jump,Bronze,Italy
F,34,176,72,Romania,ROU,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze,Romania
